BOOKAUTHORNAME,COUNTRY,FORMAT,ID,NAMEOFBOOK,PRODUCER,YEAR
Mark Twain,Russia,format1,3779082,The Adventures of Tom Sawyer,producer1,2000
Ernest Hemingway,France,format2,5761899,The Old Man and the Sea,producer2,2001
Edgar Allan Poe,Spain,format3,7915345,Tales of Edgar Allan Poe,producer3,1996
Harper Lee,China,format4,7860052,To Kill a Mockingbird,producer4,2010
Jack London,Greece,format5,9508173,Hearts of Three,producer5,1998
Stephen King,USA,format5,7432460,The Dark Tower,producer6,1975
Charles Bukowski,Italy,format6,5357219,Factotum,producer7,2007
O. Henry,England,format7,9799032,The Gift of the Magi,producer8,2011
William Makepeace Thackeray,Germany,format8,3254945,Vanity Fair,producer9,2018
Rudyard Kipling,Denmark,format9,5053034,The Jungle Book,producer10,1989
